froi,size,effect_run,froi_run,subject,effect
3,0.15531203864520648,3,orth3,089,W
4,1.0600990324809745,1,orth1,089,W
4,0.006424443975619569,2,orth2,089,W
4,0.1415281679632293,3,orth3,089,W
5,3.123553936896117,1,orth1,089,W
5,2.1207336825521095,2,orth2,089,W
5,2.199811549290367,3,orth3,089,W
6,2.110814015607576,1,orth1,089,W
6,0.9900873069827621,2,orth2,089,W
6,0.8746075679522913,3,orth3,089,W
1,0.3169222737679917,1,orth1,089,N
1,-0.04474237216414795,2,orth2,089,N
1,-0.07053808294566108,3,orth3,089,N
2,-0.2506533607547344,1,orth1,089,N
2,-0.09671006715615038,2,orth2,089,N
2,-0.14583335394603142,3,orth3,089,N
3,-0.14167446705687325,1,orth1,089,N
3,-0.4746494961727876,2,orth2,089,N
3,-0.23685379957169062,3,orth3,089,N
4,0.12142532923560892,1,orth1,089,N
4,-0.43645431749472346,2,orth2,089,N
4,-0.3307177857055354,3,orth3,089,N
5,2.023262638112773,1,orth1,089,N
5,1.68335038650295,2,orth2,089,N
5,0.8874127173229404,3,orth3,089,N
6,0.7028397136443371,1,orth1,089,N
6,0.3428375585558447,2,orth2,089,N
6,-0.06288851050005571,3,orth3,089,N
1,1.7388037750307395,1,orth1,076,S
1,0.38030517816143256,2,orth2,076,S
1,1.2364343577603094,3,orth3,076,S
2,-0.3590009200283762,1,orth1,076,S
2,-0.37587305852269504,2,orth2,076,S
2,0.4730896386274792,3,orth3,076,S
3,0.286240486530005,1,orth1,076,S
3,-0.5190989363472909,2,orth2,076,S
3,1.4629910187795758,3,orth3,076,S
4,0.9138847549848661,1,orth1,076,S
4,0.847856042050832,2,orth2,076,S
4,1.937240261660033,3,orth3,076,S
5,3.29086499887964,1,orth1,076,S
5,0.9164742841284074,2,orth2,076,S
5,2.830693539717923,3,orth3,076,S
6,-0.5439874442747316,1,orth1,076,S
6,0.04531692471858617,2,orth2,076,S
6,-1.5111936693255965,3,orth3,076,S
1,0.8722026880836862,1,orth1,076,W
1,0.16470035364642283,2,orth2,076,W
1,1.4297146111422656,3,orth3,076,W
2,-0.7151467638481178,1,orth1,076,W
2,-0.7482723974404327,2,orth2,076,W
2,0.4545067280500748,3,orth3,076,W
3,-0.9734433262055973,1,orth1,076,W
3,-1.0487749711610377,2,orth2,076,W
3,1.0477890803012997,3,orth3,076,W
4,-0.17798095860996763,1,orth1,076,W
4,0.6946810096300937,2,orth2,076,W
4,2.078271242462703,3,orth3,076,W
5,2.9443106845669123,1,orth1,076,W
5,1.3768575818318387,2,orth2,076,W
5,3.3868072641932447,3,orth3,076,W
6,-1.969710200219541,1,orth1,076,W
6,-0.3807480658933118,2,orth2,076,W
6,-1.1954925095511448,3,orth3,076,W
1,-0.1990324195532198,1,orth1,076,N
1,-0.8678825399743355,2,orth2,076,N
1,1.4500948138484338,3,orth3,076,N
2,-1.0420902558245961,1,orth1,076,N
2,-1.127614188042504,2,orth2,076,N
2,0.7739267232080485,3,orth3,076,N
3,-2.1579179549589753,1,orth1,076,N
3,-1.8889191513881087,2,orth2,076,N
3,1.3318480094894767,3,orth3,076,N
4,-0.19498046530753602,1,orth1,076,N
4,-0.2900453845441744,2,orth2,076,N
4,2.491042080763224,3,orth3,076,N
5,0.6208332728027649,1,orth1,076,N
5,-0.3975431030292226,2,orth2,076,N
5,2.177017402389775,3,orth3,076,N
6,-1.5591214669717324,1,orth1,076,N
6,-1.437583420727704,2,orth2,076,N
6,-0.0017224576928325601,3,orth3,076,N
